day,month,norm_name,total_likes,total_retweets,year,name,avgViewers,avgPopularity,avgChannels,std_tot_rtw,std_tot_likes,std_avgViewers,buzz
13,6,counter-strike global offensive,23.0,4.0,2019,Counter-Strike: Global Offensive,39686.190311418686,38719.55017301038,1335.1280276816608,-0.20537455771584046,-0.27375866605882276,0.7791490826098505,0.26979123536125943
13,6,mario kart wii,22.0,3.0,2019,Mario Kart Wii,43.95035460992908,42.670212765957444,7.226950354609929,-0.20616701815921257,-0.2739063464211932,-0.5229996599435563,-0.38151817111687963
13,6,league of legends,548.0,70.0,2019,League of Legends,139492.28373702423,140292.19031141867,2966.8961937716263,-0.1530721684532826,-0.1962264758143431,4.057530405030517,1.9414405414483522
13,6,wii sports resort,33.0,4.0,2019,Wii Sports Resort,2.5714285714285716,2.3214285714285716,1.6071428571428572,-0.20537455771584046,-0.2722818624351184,-0.5243588544938126,-0.381593532284646
13,6,clam man,12.0,2.0,2019,,0.0,0.0,0.0,-0.20695947860258465,-0.2753831500448976,-0.5244433195110392,-0.3828073169173901
13,6,just chatting,4403.0,170.0,2019,Just Chatting,97585.86851211073,97702.74048442907,1351.3079584775087,-0.0738261241160737,0.3730813211236933,2.6810091501898294,1.4153183743468196
13,6,grand theft auto v,23.0,5.0,2019,Grand Theft Auto V,97704.61937716263,95741.33564013841,1057.0242214532873,-0.20458209727246837,-0.27375866605882276,2.68490982002516,1.2228697191797573
13,6,duck hunt,146.0,5.0,2019,,0.0,0.0,0.0,-0.20458209727246837,-0.255593981487259,-0.5244433195110392,-0.3772656794454514
13,6,wii play,100.0,0.0,2019,,0.0,0.0,0.0,-0.20854439948932882,-0.2623872781562991,-0.5244433195110392,-0.37995457916692654
13,6,super mario bros.,215.0,20.0,2019,Super Mario Bros.,51.2027027027027,44.531531531531535,3.4414414414414414,-0.19269519062188703,-0.24540403648369877,-0.5227614383909939,-0.3709055259718934
13,6,talk shows & podcasts,5.0,1.0,2019,Talk Shows & Podcasts,12294.61937716263,12009.245674740485,96.58477508650519,-0.20775193904595673,-0.27641691258149065,-0.12059572715531586,-0.18134007648451977
13,6,bio inc. redemption,0.0,0.0,2019,Bio Inc. Redemption,6.118421052631579,5.552631578947368,1.0921052631578947,-0.20854439948932882,-0.27715531439334284,-0.5242423446345241,-0.38354610078792994
13,6,call of duty black ops iii,10.0,0.0,2019,Call of Duty: Black Ops III,161.54545454545453,161.4020979020979,59.10489510489511,-0.20854439948932882,-0.27567851076963845,-0.5191369541106287,-0.38062420462005614
13,6,world of warcraft,501.0,80.0,2019,World of Warcraft,46690.74740484429,45867.9723183391,1007.6955017301038,-0.1451475640195617,-0.20316745284575366,1.009231318661225,0.41753690511428365
13,6,total war three kingdoms,41.0,2.0,2019,Total War: Three Kingdoms,6604.321799307959,6504.031141868512,66.42906574394463,-0.20695947860258465,-0.2711004195361549,-0.30750781496445884,-0.2732688820169143
13,6,grand theft auto iv,2.0,0.0,2019,Grand Theft Auto IV,38.136842105263156,37.55438596491228,4.463157894736842,-0.20854439948932882,-0.27685995366860194,-0.5231906193344994,-0.38294639795673235
13,6,super mario world,29.0,3.0,2019,Super Mario World,829.4498269896194,817.0726643598616,15.923875432525952,-0.20616701815921257,-0.2728725838846002,-0.4971979607623298,-0.3683588808921181
13,6,mario kart ds,0.0,0.0,2019,,0.0,0.0,0.0,-0.20854439948932882,-0.27715531439334284,-0.5244433195110392,-0.38364658822618747
