date,name,norm_name,buzz,std_tot_rtw,std_tot_likes,std_avgViewers,buzz_daily_top,avgViewers,avgPopularity,avgChannels,total_likes,total_retweets
2019-06-23,New Super Mario Bros.,new super mario bros.,-0.3924611067472245,-0.05931437012582301,-0.07089570628049519,-0.2622510303409063,40,4.367647058823529,3.5147058823529416,1.1029411764705883,105.0,13.0
2019-06-24,New Super Mario Bros.,new super mario bros.,-0.3747171052549304,-0.04887461136397603,-0.06358334728990156,-0.2622591466010528,32,3.8926553672316384,4.033898305084746,1.4463276836158192,301.0,61.0
2019-06-25,New Super Mario Bros.,new super mario bros.,-0.34397577363732007,-0.03712988275689817,-0.044705522548879266,-0.26214036833154264,29,10.843971631205674,8.702127659574469,1.3049645390070923,807.0,115.0
2019-06-26,New Super Mario Bros.,new super mario bros.,-0.3849253705870912,-0.05713942038377156,-0.0655233608996509,-0.26226258930366875,35,3.6911764705882355,3.0,1.2205882352941178,249.0,23.0
2019-06-27,New Super Mario Bros.,new super mario bros.,-0.38145533385762864,-0.056269440486950976,-0.06294911207132967,-0.26223678129934797,33,5.2015503875969,4.418604651162791,1.1162790697674418,318.0,27.0
2019-06-28,New Super Mario Bros.,new super mario bros.,-0.38332427680237025,-0.056269440486950976,-0.06477720181897807,-0.2622776344964412,36,2.8106796116504853,2.2766990291262137,1.2378640776699028,269.0,27.0
2019-06-29,New Super Mario Bros.,new super mario bros.,-0.32026099374530964,-0.02081775969151226,-0.0371693158340838,-0.2622739182197136,24,3.028169014084507,1.971830985915493,1.0,1009.0,190.0
2019-06-30,New Super Mario Bros.,new super mario bros.,-0.3158217025043194,-0.008855536110229257,-0.044705522548879266,-0.26226064384521086,21,3.8050314465408803,2.8679245283018866,1.4150943396226414,807.0,245.0
2019-07-01,New Super Mario Bros.,new super mario bros.,-0.37278301269521463,-0.050614571157617194,-0.060001783702672035,-0.2621666578349254,31,9.305418719211822,8.394088669950737,1.5911330049261083,397.0,53.0
2019-07-02,New Super Mario Bros.,new super mario bros.,-0.09922613362143823,0.08423231284957301,0.07833610985406846,-0.2617945563250797,17,31.082089552238806,31.44402985074627,1.4440298507462686,4105.0,673.0
2019-07-03,New Super Mario Bros.,new super mario bros.,-0.11916826108389653,0.08945219223049651,0.053563628375730886,-0.2621840816901239,16,8.285714285714286,4.936507936507937,1.4074074074074074,3441.0,697.0
2019-07-04,New Super Mario Bros.,new super mario bros.,-0.36100599649932685,-0.048004631467155445,-0.051197106550732785,-0.2618042584814386,29,30.514285714285716,28.34285714285714,1.542857142857143,633.0,65.0
2019-07-05,New Super Mario Bros.,new super mario bros.,-0.3567026900185211,-0.04996208623500176,-0.044966678227114754,-0.2617739255564046,29,32.28947368421053,23.305263157894736,1.2263157894736842,800.0,56.0
2019-07-06,New Super Mario Bros.,new super mario bros.,-0.3573427678755063,-0.045829681725103995,-0.05000325202165627,-0.261509834128746,26,47.745019920318725,44.60159362549801,1.5976095617529882,665.0,75.0
2019-07-07,New Super Mario Bros.,new super mario bros.,-0.3748967938086148,-0.05387699577069437,-0.05918100871393194,-0.26183878932398846,31,28.49342105263158,25.796052631578952,1.3618421052631582,419.0,38.0
2019-07-08,New Super Mario Bros.,new super mario bros.,-0.3790729516901187,-0.05300701587387379,-0.0638818109221707,-0.2621841248940742,31,8.283185840707965,7.446902654867258,2.0486725663716814,293.0,42.0
2019-07-09,New Super Mario Bros.,new super mario bros.,-0.2713493423572497,-0.0018956969356646017,-0.007360260561204717,-0.2620933848603804,19,13.593607305936073,11.105022831050226,2.1004566210045663,1808.0,277.0
