date,name,norm_name,buzz,std_tot_rtw,std_tot_likes,std_avgViewers,buzz_daily_top,twitch_daily_top,avgViewers,avgPopularity,avgChannels,total_likes,total_retweets
2019-06-27,Tetris,tetris,-0.37159369797188535,-0.0531837169293989,-0.056517736063740526,-0.2618922449787459,31,851.0,35.58444444444444,36.71333333333333,5.942222222222222,416.0,31.0
2019-06-28,Tetris,tetris,-0.2082051612222115,0.05303734906436194,-0.0005704771794412702,-0.26067203310713216,18,429.0,107.1258581235698,67.86727688787185,5.2654462242562925,1867.0,503.0
2019-06-29,Tetris,tetris,-0.2446248200123671,0.019955788256983034,-0.0027297097759407594,-0.26185089849340937,19,772.0,38.008602150537634,46.50322580645161,5.240860215053764,1811.0,356.0
2019-06-30,Tetris,tetris,-0.36365451387805103,-0.04373184241300493,-0.058484180035552565,-0.26143849142949355,30,626.0,62.18816067653277,59.91331923890064,5.668076109936575,365.0,73.0
2019-07-01,Tetris,tetris,0.7283890224838627,0.6273512482509672,0.3629131958062852,-0.2618754215733897,8,789.0,36.570806100217865,36.33769063180828,4.379084967320262,11294.0,3055.0
2019-07-02,Tetris,tetris,-0.37246228360695705,-0.05115831524731448,-0.05964091178367729,-0.2616630565759653,31,699.0,49.02183406113537,51.122270742358076,7.5109170305676844,335.0,40.0
2019-07-03,Tetris,tetris,-0.3226404544353017,-0.026178361168273264,-0.034385601949620766,-0.2620764913174077,24,1029.0,24.782022471910114,24.44943820224719,5.058426966292134,990.0,151.0
2019-07-04,Tetris,tetris,-0.3548498402012087,-0.04125635146823508,-0.051620904996679186,-0.26197258373629445,27,877.0,30.874157303370787,30.651685393258425,5.721348314606741,543.0,84.0
2019-07-05,Tetris,tetris,-0.2683186093182632,0.017030208049527755,-0.023088188542935942,-0.262260628824855,21,1364.0,13.985981308411215,13.724299065420562,4.170560747663552,1283.0,343.0
2019-07-06,Tetris,tetris,-0.09841411533490237,0.08409350818965643,0.07928257116610232,-0.2617901946906611,16,786.0,41.56768558951965,38.65065502183406,5.209606986899564,3938.0,641.0
2019-07-07,Tetris,tetris,-0.3668161807594964,-0.045307154832403926,-0.05979514268342726,-0.2617138832436652,30,784.0,46.041850220264315,47.696035242290755,5.314977973568282,331.0,66.0
2019-07-08,Tetris,tetris,-0.336704002806253,-0.0333797893712401,-0.041595896512931566,-0.26172831692208137,26,736.0,45.19559902200489,43.811735941320286,5.491442542787286,803.0,119.0
2019-07-09,Tetris,tetris,-0.2704998480662654,0.009603735215218207,-0.01869260790006198,-0.26141097538142166,21,650.0,63.801435406698566,62.172248803827756,5.787081339712919,1397.0,310.0
2019-06-14,The Elder Scrolls V: Skyrim,the elder scrolls v skyrim,-0.36604807254130395,-0.059484966606994885,-0.07194082603873687,-0.23462227989557224,30,84.0,1634.43125,1611.564583333333,91.17916666666666,16.0,3.0
2019-06-15,The Elder Scrolls V: Skyrim,the elder scrolls v skyrim,-0.3388598325324253,-0.059484966606994885,-0.07039851704123724,-0.2089763488841932,25,53.0,3138.0604166666667,3126.589583333333,95.53541666666666,56.0,3.0
2019-06-16,The Elder Scrolls V: Skyrim,the elder scrolls v skyrim,-0.3314155841754382,-0.055209118611483324,-0.06858630396917517,-0.2076201615947797,26,55.0,3217.5741127348642,3210.640918580376,104.96659707724426,103.0,22.0
2019-06-17,The Elder Scrolls V: Skyrim,the elder scrolls v skyrim,-0.3643068892930854,-0.06016010050102302,-0.06943457391779997,-0.2347122148742624,34,87.0,1629.1583333333333,1625.48125,97.4875,81.0,0.0
2019-06-18,The Elder Scrolls V: Skyrim,the elder scrolls v skyrim,-0.3728310536348866,-0.05880983271296674,-0.0710539983651746,-0.2429672225567453,32,122.0,1145.1645833333334,1151.95625,108.49166666666666,39.0,6.0
2019-06-19,The Elder Scrolls V: Skyrim,the elder scrolls v skyrim,-0.35827265185216484,-0.057459564924910465,-0.06820072671980026,-0.2326123602074541,30,75.0,1752.2734864300626,1791.730688935282,102.76826722338205,113.0,12.0
2019-06-20,The Elder Scrolls V: Skyrim,the elder scrolls v skyrim,-0.3663116075869437,-0.051608404509999914,-0.06241706797917663,-0.25228613509776715,30,174.0,598.79375,594.2270833333333,101.38333333333334,263.0,38.0
2019-06-21,The Elder Scrolls V: Skyrim,the elder scrolls v skyrim,-0.3796146746095219,-0.057459564924910465,-0.0701671706916123,-0.25198793899299915,35,150.0,616.2770833333333,607.0645833333333,89.625,62.0,12.0
2019-06-22,The Elder Scrolls V: Skyrim,the elder scrolls v skyrim,-0.3827278315933999,-0.05880983271296674,-0.0714395756145495,-0.25247842326588366,33,171.0,587.5198329853862,596.1315240083508,100.83089770354906,29.0,6.0
2019-06-23,The Elder Scrolls V: Skyrim,the elder scrolls v skyrim,-0.3515386254523121,-0.04395688704434764,-0.0579058141614902,-0.24967592424647425,28,166.0,751.83125,753.7479166666667,102.99166666666666,380.0,72.0
2019-06-24,The Elder Scrolls V: Skyrim,the elder scrolls v skyrim,-0.3661878393278601,-0.06016010050102302,-0.07174803741404942,-0.23427970141278764,28,99.0,1654.5167364016736,1675.2489539748956,89.62552301255229,21.0,0.0
2019-06-25,The Elder Scrolls V: Skyrim,the elder scrolls v skyrim,-0.36293683904705343,-0.05768460955625317,-0.07066842111579968,-0.2345838083750005,33,91.0,1636.6868475991648,1629.4196242171192,92.678496868476,49.0,11.0
2019-06-26,The Elder Scrolls V: Skyrim,the elder scrolls v skyrim,-0.3789819382929864,-0.05700947566222502,-0.07009005524173732,-0.25188240738902395,34,163.0,622.4644351464435,625.1380753138076,90.92468619246858,64.0,14.0
2019-06-27,The Elder Scrolls V: Skyrim,the elder scrolls v skyrim,-0.3818923257598773,-0.05835974345028131,-0.07039851704123724,-0.2531340652683587,35,174.0,549.0793319415449,547.1691022964509,88.94363256784969,56.0,8.0
2019-06-28,The Elder Scrolls V: Skyrim,the elder scrolls v skyrim,-0.3830400360289711,-0.05790965418759589,-0.07124678698986205,-0.25388359485151313,38,179.0,505.1341719077568,496.0880503144654,83.89937106918241,34.0,10.0
